107000037376 tokens | train_loss=2.4254 | val_loss=2.4643
108000051200 tokens | train_loss=2.6825 | val_loss=2.4720
109000065024 tokens | train_loss=2.4149 | val_loss=2.5018
110000013312 tokens | train_loss=2.3529 | val_loss=2.4948
111000027136 tokens | train_loss=2.4415 | val_loss=2.4690
112000040960 tokens | train_loss=2.4601 | val_loss=2.4608
113000054784 tokens | train_loss=2.4133 | val_loss=2.4771
114000003072 tokens | train_loss=2.3281 | val_loss=2.4991
115000016896 tokens | train_loss=2.5346 | val_loss=2.4560
116000030720 tokens | train_loss=2.3372 | val_loss=2.4529
117000044544 tokens | train_loss=2.5192 | val_loss=2.4679
118000058368 tokens | train_loss=2.3852 | val_loss=2.4879
119000006656 tokens | train_loss=2.5817 | val_loss=2.4779
120000020480 tokens | train_loss=2.3706 | val_loss=2.4539
121000034304 tokens | train_loss=2.4083 | val_loss=2.4595
122000048128 tokens | train_loss=2.4795 | val_loss=2.4553
123000061952 tokens | train_loss=2.3449 | val_loss=2.4426
124000010240 tokens | train_loss=2.5199 | val_loss=2.4614
125000024064 tokens | train_loss=2.5214 | val_loss=2.4296
126000037888 tokens | train_loss=2.4431 | val_loss=2.4053
127000051712 tokens | train_loss=2.4663 | val_loss=2.4316
128000000000 tokens | train_loss=2.6061 | val_loss=2.4436
129000013824 tokens | train_loss=2.5251 | val_loss=2.4256
130000027648 tokens | train_loss=2.3117 | val_loss=2.4279
131000041472 tokens | train_loss=2.4754 | val_loss=2.4324
132000055296 tokens | train_loss=2.4952 | val_loss=2.4256
133000003584 tokens | train_loss=2.2276 | val_loss=2.4437
134000017408 tokens | train_loss=2.6349 | val_loss=2.4377
135000031232 tokens | train_loss=2.5503 | val_loss=2.4339
136000045056 tokens | train_loss=2.3936 | val_loss=2.4062
137000058880 tokens | train_loss=2.3453 | val_loss=2.4215
138000007168 tokens | train_loss=2.3566 | val_loss=2.3954
139000020992 tokens | train_loss=2.3631 | val_loss=2.4077
140000034816 tokens | train_loss=2.6332 | val_loss=2.4287
141000048640 tokens | train_loss=2.4419 | val_loss=2.4167
142000062464 tokens | train_loss=2.1605 | val_loss=2.4544
143000010752 tokens | train_loss=2.4323 | val_loss=2.4301
144000024576 tokens | train_loss=2.5486 | val_loss=2.4199
145000038400 tokens | train_loss=2.4120 | val_loss=2.4140
146000052224 tokens | train_loss=2.4898 | val_loss=2.4329
147000000512 tokens | train_loss=2.5121 | val_loss=2.4309
148000014336 tokens | train_loss=2.3819 | val_loss=2.4095
149000028160 tokens | train_loss=2.3894 | val_loss=2.4368
150000041984 tokens | train_loss=2.2228 | val_loss=2.4110
